GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
!ACHIS!,EDITORIAL COMERCIAL,ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,6.0
!ACHIS!,EDITORIAL COMERCIAL,ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
(ELLE/ELU) EDICOES Y TRADUCOES,EDITORIAL COMERCIAL,BRASIL,2023,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
(ELLE/ELU) EDICOES Y TRADUCOES,EDITORIAL COMERCIAL,BRASIL,2024,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
19 DESIGN E EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
24X7 CULTURAL LTDA.,EDITORIAL COMERCIAL,BRASIL,2015,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
2AB EDITORIAL LTDA,EDITORIAL COMERCIAL,BRASIL,2013,890 - LITERATURAS DE OTRAS LENGUAS,2.0
2AB EDITORIAL LTDA,EDITORIAL COMERCIAL,BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,2.0
3 ABEJAS,EDITORIAL COMERCIAL,MÉXICO,2013,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
3DEA EDITORA,EDITORIAL COMERCIAL,BRASIL,2020,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
3DEA EDITORA,EDITORIAL COMERCIAL,BRASIL,2020,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
3DEA EDITORA,EDITORIAL COMERCIAL,BRASIL,2021,810 - LITERATURA AMERICANA EN INGLÉS,2.0
3DEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2019,810 - LITERATURA AMERICANA EN INGLÉS,7.0
3DEA EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2019,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
3I EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
3J EDITORES S.A,EDITORIAL COMERCIAL,COLOMBIA,2010,800 - LITERATURA Y RETÓRICA: GENERAL,13.0
3J EDITORES S.A,EDITORIAL COMERCIAL,COLOMBIA,2011,800 - LITERATURA Y RETÓRICA: GENERAL,11.0
3J EDITORES S.A,EDITORIAL COMERCIAL,COLOMBIA,2012,800 - LITERATURA Y RETÓRICA: GENERAL,26.0
3J EDITORES S.A,EDITORIAL COMERCIAL,COLOMBIA,2013,080 - COLECCIONES GENERALES,1.0
3J EDITORES S.A,EDITORIAL COMERCIAL,COLOMBIA,2014,800 - LITERATURA Y RETÓRICA: GENERAL,11.0
3J EDITORES S.A,EDITORIAL COMERCIAL,COLOMBIA,2015,800 - LITERATURA Y RETÓRICA: GENERAL,9.0
5:PM SERIOUS TECNOLOGIA LTDA.,EDITORIAL COMERCIAL,BRASIL,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,6.0
