ANO,PAIS,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
2010,BOLIVIA,ALEMÁN,ELEBETE,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
2010,BOLIVIA,AYMARA,LITEXSA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,"ALEMAN MENDUINA DE URIBE, SONIA GLADYS",800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,"ASCARRUNZ DE TARDIO, OLGA LOTTY  (ESELE)",800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,EDITORIAL 3600,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
2010,BOLIVIA,ESPAÑOL,"FLORES TITALO, MAXIMO JUSTO",860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,BOLIVIA,ESPAÑOL,GRUPO SANTILLANA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,MARTINEZ ACCHINI S.R.L. LIBROS,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,2.0
2010,BOLIVIA,INGLÉS,"BILBAO, LILIANA",800 - LITERATURA Y RETÓRICA: GENERAL,2.0
2010,BOLIVIA,INGLÉS,ELEBETE,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
2010,BOLIVIA,MULTILINGÜE,ELEBETE,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
2010,BOLIVIA,MULTILINGÜE,FRANCISCO AZUELA ESPINOZA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,QUECHUA,LITEXSA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BRASIL,ALEMÁN,GOLD EDITORA E GRAFICA LTDA,SIN DATO,8.0
2010,BRASIL,ALEMÁN,SOCIEDADE DE BENEFICENCIA HUMBOLDT,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,COMPANHIA MELHORAMENTOS DE SAO PAULO,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,GERALDO PECANHA DE ALMEIDA,SIN DATO,1.0
