TIPO_AGENTE,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,ANO,PAIS,CANTIDAD_REGISTROS
EDITORIAL COMERCIAL,AFRIKÁANS,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,2018,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALBANÉS,COMPANHIA DAS LETRAS,800 - LITERATURA Y RETÓRICA: GENERAL,2024,BRASIL,1.0
EDITORIAL COMERCIAL,ALBANÉS,COMPANHIA DAS LETRAS,890 - LITERATURAS DE OTRAS LENGUAS,2024,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,5:PM SERIOUS TECNOLOGIA LTDA.,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2016,BRASIL,6.0
EDITORIAL COMERCIAL,ALEMÁN,ABACATTE EDITORIAL LTDA - EPP,SIN DATO,2012,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,ABRIL EDUCACAO S. A.,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,ADRIANA HIDALGO EDITORA S.A.,800 - LITERATURA Y RETÓRICA: GENERAL,2020,ARGENTINA,1.0
EDITORIAL COMERCIAL,ALEMÁN,AGENCIA PROMOTORA DE PUBLICACIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2017,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,AGUILAR CHILENA DE EDICIONES S.A.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2012,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALASTOR S.A.C.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2020,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALASTOR S.A.C.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALAUDE EDITORIAL LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,ALAUDE EDITORIAL LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2015,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2013,COLOMBIA,4.0
EDITORIAL COMERCIAL,ALEMÁN,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2016,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALIANZA DISTRIBUIDORA DE COLOMBIA LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2020,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALMADIA EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2022,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALQUIMIA EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,2024,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,ALQUIMIA EDICIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2022,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,ANDRES URZUA DE LA SOTTA - PROVINCIANOS EDITORES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2021,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,ANDRES URZUA DE LA SOTTA - PROVINCIANOS EDITORES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,ARARINHA EDITORIAL,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,ARISMA S.A,800 - LITERATURA Y RETÓRICA: GENERAL,2018,COLOMBIA,2.0
EDITORIAL COMERCIAL,ALEMÁN,ARISMA S.A,800 - LITERATURA Y RETÓRICA: GENERAL,2019,COLOMBIA,10.0
EDITORIAL COMERCIAL,ALEMÁN,ARQUIPELAGO EDITORIAL LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,ARTE Y ESCENA EDICIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2015,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,ASOCIACION DOMINICANA DE LIBREROS Y AFINES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,REPÚBLICA DOMINICANA,1.0
EDITORIAL COMERCIAL,ALEMÁN,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,2010,BRASIL,8.0
EDITORIAL COMERCIAL,ALEMÁN,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,2011,BRASIL,3.0
EDITORIAL COMERCIAL,ALEMÁN,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,2012,BRASIL,4.0
EDITORIAL COMERCIAL,ALEMÁN,ATARRAYA EDITORES SAS,800 - LITERATURA Y RETÓRICA: GENERAL,2022,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,AUIEO EDICIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2011,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,AUIEO EDICIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2023,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,"BACA ESPINOZA, HECTOR USHIYAMA",830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2015,MÉXICO,2.0
EDITORIAL COMERCIAL,ALEMÁN,"BACA ESPINOZA, HECTOR USHIYAMA",830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2021,MÉXICO,1.0
