PAIS,ANO,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,"ALBISU, CARLOS EDUARDO",1.0
BRASIL,2010,SIN DATO,ASSOCIACAO SINODAL DE EDITORACAO,3.0
BRASIL,2010,SIN DATO,CADERBRAS BICO INTERNACIONAL LTDA,34.0
BRASIL,2010,SIN DATO,CASA NAZARENA DE PUBLICACOES NO BRASIL S/C,1.0
BRASIL,2010,SIN DATO,CLAUDIO ROBERTO MARTINI-ME,6.0
BRASIL,2010,SIN DATO,COMBOIO DO CORDA EDITORA LTDA,1.0
BRASIL,2010,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,2.0
BRASIL,2010,SIN DATO,COSAC & NAIFY EDICOES LTDA,1.0
BRASIL,2010,SIN DATO,EDITORA BEST SELLER,8.0
BRASIL,2010,SIN DATO,EDITORA DIMENSAO LTDA,2.0
BRASIL,2010,SIN DATO,EDITORA FTD,7.0
BRASIL,2010,SIN DATO,EDITORA MODERNA,1.0
BRASIL,2010,SIN DATO,EDITORA PAZ E TERRA S/A,7.0
BRASIL,2010,SIN DATO,EDITORA ROCCO,2.0
BRASIL,2010,SIN DATO,EDITORA TECMEDD LTDA,1.0
BRASIL,2010,SIN DATO,EDITORA VERGARA BRASIL LTDA,1.0
BRASIL,2010,SIN DATO,EDITORA VOZES,2.0
BRASIL,2010,SIN DATO,FUNDACAO UNIVERSITARIA DO DESENVOLVIMENTO DO OESTE,1.0
BRASIL,2010,SIN DATO,GRAFICA EDITORA STAMPPA LTDA,1.0
BRASIL,2010,SIN DATO,KALANDRAKA EDITORA SL,5.0
BRASIL,2010,SIN DATO,MADRAS EDITORA,2.0
BRASIL,2010,SIN DATO,MANUELA EDITORIAL LTDA,1.0
BRASIL,2010,SIN DATO,OPERA PRIMA EDITORIAL E CULTURAL LTDA-ME,1.0
BRASIL,2010,SIN DATO,PAO E ROSAS EDITORA LTDA,1.0
BRASIL,2010,SIN DATO,PETULA VENTURA LEMOS PETERSEN - ME,13.0
BRASIL,2010,SIN DATO,PINTO E ZINCONE EDITORA LTDA,1.0
BRASIL,2010,SIN DATO,PRI PRIMAVERA EDITORIAL LTDA,2.0
BRASIL,2010,SIN DATO,RHJ LIVROS LTDA,1.0
BRASIL,2010,SIN DATO,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,4.0
BRASIL,2010,SIN DATO,SARAIVA SA LIVREIROS EDITORES,13.0
BRASIL,2010,SIN DATO,VIVEIROS DE CASTRO EDITORA LTDA,1.0
BRASIL,2010,SIN DATO,ZOUK EDITORA E DISTRIBUIDORA LTDA,1.0
BRASIL,2011,SIN DATO,ABRIL EDUCACAO S. A.,1.0
BRASIL,2011,SIN DATO,ACAO SOCIAL CLARETIANA,3.0
BRASIL,2011,SIN DATO,AGALMA PSICANALISE EDITORA LTDA,1.0
