PAIS,ANO,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,ADRIANA HIDALGO EDITORA,2.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,BLATT & RIOS,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,CORREGIDOR,5.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,CULTURAL LIBRERA AMERICANA,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,DAKOTA BUILDING EDITORA,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,EDHASA,2.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,EL CUENCO DE PLATA,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PRISA,3.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,IAMIQUE,2.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,MOISES ROBERTO CARDENAS CHACON,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,UNSAMEDITA,2.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,V&R,7.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,VERONICA PAOLA LOMBARDO,1.0
ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,VOX/LUX,2.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,CORREGIDOR,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,DE CIUTIIS EDICIONES,3.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,EDHASA,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES JUANA DE ANGELIS,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPAL,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PRISA,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,HOLTZBRINCK,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,LA ESQUINA DE LOS VIENTOS,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,OJOREJA,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,PATO-EN-LA-CARA,1.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,2.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,V&R,3.0
ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,ZINDO & GAFURI,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,"ALEMANY ELOISE MITSUKO, MARIE ELEONARE",1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION CASA EDITORA SUDAMERICANA,7.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,BAJOLALUNA EDITORIAL S.A.S.,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,"BENEDETTO, JULIETA MARIA LAURA",1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,EDHASA S.A.,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES CORREGIDOR S.A.I.C.I. Y E.,7.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL MAREA S.R.L.,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,ETERNA CADENCIA S.R.L.,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,"FRACCAROLLI, KARINA J.",1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,"GRINBERG, PATRICIO GABRIEL",1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO ILHSA S.A.,5.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PLANETA,3.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,INTERZONA EDITORA S.A.,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,"NOLLA PORTILLO, FABIANA DE LOS MILAGROS",1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,4.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,TUSQUETS EDITORES S.A.,1.0
ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,VERASOFT S.A.,1.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,"ARZAC, AGUSTIN",1.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION CASA EDITORA SUDAMERICANA,3.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES CORREGIDOR S.A.I.C.I. Y E.,6.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,"GRINBERG, PATRICIO GABRIEL",1.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO ILHSA S.A.,3.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,INSTITUTO DE ENSENANZA GENERAL,1.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,"NIEVA, MARCELO ALEJANDRO",1.0
ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,PEARSON,17.0
BOLIVIA,2010,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO SANTILLANA,1.0
BOLIVIA,2018,800 - LITERATURA Y RETÓRICA: GENERAL,"DOTZAUER GUMUCIO, DANIELA SUSANA",1.0
BOLIVIA,2020,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORIAL EL CUERVO,1.0
BOLIVIA,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"CLAROS FUENTES, ARIEL IBER",1.0
BOLIVIA,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORIAL EL CUERVO,1.0
BRASIL,2010,SIN DATO,ASSOCIACAO SINODAL DE EDITORACAO,1.0
BRASIL,2010,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,1.0
BRASIL,2010,SIN DATO,GERALDO PECANHA DE ALMEIDA,1.0
BRASIL,2010,SIN DATO,GLOBAL EDITORA,5.0
BRASIL,2010,SIN DATO,GOLD EDITORA E GRAFICA LTDA,1.0
BRASIL,2010,SIN DATO,LEITURA E ARTE EDITORA LTDA,1.0
BRASIL,2010,SIN DATO,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,2.0
BRASIL,2010,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,5.0
BRASIL,2011,SIN DATO,AC FARMACEUTICA LTDA,1.0
BRASIL,2011,SIN DATO,ALAUDE EDITORIAL LTDA,1.0
BRASIL,2011,SIN DATO,ARTPOP ACADEMIA DE ARTES DE CABO FRIO,1.0
BRASIL,2011,SIN DATO,ASSOCIACAO INTERNACIONAL DE ESCRITORES E ARTISTAS,1.0
BRASIL,2011,SIN DATO,ASSOCIACAO PINACOTECA ARTE  E CULTURA - APAC,1.0
BRASIL,2011,SIN DATO,BENEDITO CESAR SILVA,1.0
BRASIL,2011,SIN DATO,CENTRO DIFUSOR DE CULTURA LTDA,19.0
BRASIL,2011,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,1.0
BRASIL,2011,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,11.0
BRASIL,2011,SIN DATO,EDITORA E LIVRARIA ADHONEP,1.0
BRASIL,2011,SIN DATO,ELEMENTAR PUBLICACOES E EDITORA LTDA-ME,2.0
BRASIL,2011,SIN DATO,ESCOLA DE EDUCACAO TEOLOGICA DAS ASSEMBLEIAS DE DEUS,2.0
BRASIL,2011,SIN DATO,FUNDACAO ODEBRECHT,1.0
BRASIL,2011,SIN DATO,GLOBAL EDITORA,2.0
BRASIL,2011,SIN DATO,GUARITA DIGITAL CONSULTORIA E SERVICOS DE INFORMATICA LTDA,1.0
BRASIL,2011,SIN DATO,HIBRIDA PRODUCOES ARTISTICAS LTDA - ME,1.0
BRASIL,2011,SIN DATO,IGREJA CRISTA EVANGELICA DO BRASIL,2.0
BRASIL,2011,SIN DATO,INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA,1.0
BRASIL,2011,SIN DATO,LIVRARIA SANTOS EDITORA COMERCIO E IMPORTACAO LTDA,1.0
BRASIL,2011,SIN DATO,PALAVRA & PRECE EDITORA LTDA,1.0
BRASIL,2011,SIN DATO,PHOTOS EDITORA GRAFICA LTDA-ME,4.0
BRASIL,2011,SIN DATO,PROTON EDITORA E TECNOLOGIA LTDA,1.0
BRASIL,2011,SIN DATO,RABONI EDITORA LTDA,1.0
BRASIL,2011,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,7.0
BRASIL,2012,SIN DATO,EDITORA LIVOBOOKS LTDA,2.0
BRASIL,2012,SIN DATO,EDITORA PATUA,1.0
BRASIL,2012,SIN DATO,GLOBAL EDITORA,5.0
BRASIL,2012,SIN DATO,INSTITUTO SOCIOAMBIENTAL,1.0
BRASIL,2012,SIN DATO,MANUELA EDITORIAL LTDA,1.0
BRASIL,2012,SIN DATO,THESAURUS EDITORA DE BRASILIA,1.0
BRASIL,2012,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,2.0
BRASIL,2013,080 - COLECCIONES GENERALES,CIRANDA CULTURAL,8.0
BRASIL,2013,080 - COLECCIONES GENERALES,EDITORA FUNDAMENTO EDUCACIONAL LTDA,3.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSOCIACAO PAULISTA DE ESPERANTO,2.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AUTENTICA EDITORA,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,COSAC & NAIFY EDICOES LTDA,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA BAOBA LTDA,3.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA E LIVRARIA BIANCOVILLI & M. COSTA LTDA,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA SCHOBA LTDA-ME,2.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ENSINAMENTO EDITORA LTDA,4.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ESCRITORIO DE EDUCACAO DA EMBAIXADA DA ESPANHA,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GERACAO EDITORIAL,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,IZABEL BATISTA MASCARENHAS DE SOUZA ME,2.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LEDUR SERVICOS EDITORIAS LTDA,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MILFOLHAS PRODUCAO EDITORIAL LTDA,4.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ORGANO GRAMA PRODUCAO EDITORIAL E CULTURAL LTDA,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RHJ LIVROS LTDA,4.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDADE ESTADUAL DE CAMPINAS,1.0
BRASIL,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0
BRASIL,2013,890 - LITERATURAS DE OTRAS LENGUAS,CENTRO DIFUSOR DE CULTURA LTDA,10.0
BRASIL,2014,080 - COLECCIONES GENERALES,CIRANDA CULTURAL,9.0
BRASIL,2014,800 - LITERATURA Y RETÓRICA: GENERAL,ABACATTE EDITORIAL LTDA - EPP,6.0
BRASIL,2014,800 - LITERATURA Y RETÓRICA: GENERAL,GLOBAL EDITORA,5.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AVEC EDITORA E COMERCIO DE LIVROS LTDA,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CENTRO CULTURAL TERRA VERDE,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA GAZETA SANTA CRUZ LTDA,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA MIGUILIM LTDA,10.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDYSIA DE NOVAIS SIMAS,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ESTUDIO SOPA LTDA ME,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,INSTITUTO ELO,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,INSTITUTO ITAU CULTURAL,2.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARCELO SPALDING PEREZ,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARES TIZZOT EDITORA LTDA,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,METANOIA EDITORA E COMUNICACAO LTDA,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,NAUEMBLU CIENCIA & ARTE LTDA,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,OLSEN SERVICOS GRAFICOS ME,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,R.S.V.P. EDITORA EIRELI - EPP,4.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,THESAURUS EDITORA DE BRASILIA,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDADE ESTADUAL DE CAMPINAS,1.0
BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,WALDEMAR DE FRANCA ARAUJO,2.0
BRASIL,2014,870 - LITERATURAS LATINAS E ITALIANAS,ANA PAULA CORDEIRO,1.0
BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,CAMARA CATARINENSE DO LIVRO,1.0
BRASIL,2014,890 - LITERATURAS DE OTRAS LENGUAS,GRUPO PLANETA,6.0
BRASIL,2015,080 - COLECCIONES GENERALES,CIRANDA CULTURAL,45.0
BRASIL,2015,080 - COLECCIONES GENERALES,INDG TECNOLOGIA E SERVICOS LTDA,2.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,A. Y. C. DE M. LEMOS - ME,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,A2 COMUNICACAO E SERVICOS EDITORIAIS LTDA - ME,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AFONSO CELSO BRANDAO DE SA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSIS & FLORAO LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSOCIACAO DOS ESCRITORES DOS MUNICIPIOS DA REGIAO DA GRANDE FLORIANOPOLIS,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AVEC EDITORA E COMERCIO DE LIVROS LTDA,4.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BAMBOO EDITORIAL LTDA,2.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,BRUNO ALVES PIRES,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,D G CARDIN - EDITORA-ME,5.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,DESIGN EDITORA LTDA-ME,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,DRAGO EDITORIAL,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DA UNIVERSIDADE DE SANTA CRUZ DO SUL,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA DUBOLSINHO LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA E LIVRARIA BIANCOVILLI & M. COSTA LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA LIVRO NOVO LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA MIGUILIM LTDA,5.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA PATUA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ESTUDIO SOPA LTDA ME,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,F FRANCO & CIA LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,FUNDACAO UNIVERSIDADE DE PASSO FUNDO,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GLOBAL EDITORA,3.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,INSTITUTO DSOP DE EDUCACAO FINANCEIRA LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ITAJARA EDITORA E PRODUTORA CINEMATOGRAFICA LTDA,2.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,KOTTER EDITORIAL LTDA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LUCIANA CORDEIRO DE SOUZA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARCELO NERY DOS SANTOS 05657360940,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARCELO SPALDING PEREZ,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MARIANA GIKAS,3.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ORDEM DO GRAAL NA TERRA,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PAES NEVES LTDA,8.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,REALITY BOOKS EDITORA LTDA ME,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ROSANA ERBE DE FREITAS 05320821760,2.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SHERY DUQUE PINHEIRO,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,1.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,VALDECY ALMEIDA DE JESUS 48517674553,3.0
BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,WELLINGTON FERNANDES DE SOUZA 32673729844,1.0
BRASIL,2015,890 - LITERATURAS DE OTRAS LENGUAS,ANDREA APARECIDA SANTINHO DOMINGOS,2.0
