REGION_BRASIL_LATAM,ANO,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,IDIOMA.ESTANDARIZADO.COMPLETO,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ACAO SOCIAL CLARETIANA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ALIANCA PRO EVANGELIZACAO DAS CRIANCAS,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BIBLIOTECA - CENTRO DE PESQUISA AMERICA DO SUL - PAISES ARABES,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BLU EDITORA LTDA-ME,4.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BOA VIAGEM DISTRIBUIDORA DE LIVROS LTDA,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BRINQUE-BOOK EDITORA DE LIVROS LTDA,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CAPIVARA EDITORA LTDA,3.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CASA PUBLICADORA DAS ASSEMBLEIAS DE DEUS,5.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,COMBOIO DO CORDA EDITORA LTDA,3.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,25.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CONHECIMENTO EDITORA E DISTRIBUIDORA DE LIVROS LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDICOES ROSARI LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ARARA AZUL LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA BAHA'I DO BRASIL,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA BEST SELLER,12.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA CLARIDADE LTDA,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA DO BRASIL,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ESFERA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA FTD,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA FUNDAMENTO EDUCACIONAL LTDA,11.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ITHALA LADA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA MAGIA DE LER LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA MIRARTE LTDA-ME,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA MODERNA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA PORTO DE IDEIAS EPP,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA POSITIVO LTDA,22.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA REVAN LTDA,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ROCCO,5.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA SAPIENTIA LTDA-ME,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA TANTATINTA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA TECMEDD LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA VOZES,4.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FEDERACAO ESPIRITA BRASILEIRA,5.0
