ANO,PAIS,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
2010,BOLIVIA,800 - LITERATURA Y RETÓRICA: GENERAL,"BILBAO, LILIANA",2.0
2010,BOLIVIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL 3600,2.0
2010,BOLIVIA,800 - LITERATURA Y RETÓRICA: GENERAL,ELEBETE,15.0
2010,BOLIVIA,800 - LITERATURA Y RETÓRICA: GENERAL,FRANCISCO AZUELA ESPINOZA,1.0
2010,BOLIVIA,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO SANTILLANA,1.0
2010,BOLIVIA,800 - LITERATURA Y RETÓRICA: GENERAL,LITEXSA,2.0
2010,BOLIVIA,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,MARTINEZ ACCHINI S.R.L. LIBROS,2.0
2010,BRASIL,SIN DATO,A PAGINA DISTRIBUIDORA DE LIVROS,8.0
2010,BRASIL,SIN DATO,AA DESIGN PRODUCOES ARTISTICAS E CULTURAIS LTDA,1.0
2010,BRASIL,SIN DATO,AGALMA PSICANALISE EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,ALEX DA COSTA OLIVEIRA-ME,1.0
2010,BRASIL,SIN DATO,ALIANCA PRO EVANGELIZACAO DAS CRIANCAS,8.0
2010,BRASIL,SIN DATO,ALLES TRADE EDITORA E COMERCIO EXTERIOR LTDA,6.0
2010,BRASIL,SIN DATO,ANTIGA E MISTICA ORDEM ROSAE CRUCIS - AMORC GRANDE,1.0
2010,BRASIL,SIN DATO,ARTHA EDITORA E DISTRIBUIDORA DE LIVROS LTDA-ME,1.0
2010,BRASIL,SIN DATO,ASSOCIACAO ARTE DESPERTAR,1.0
2010,BRASIL,SIN DATO,ASSOCIACAO BRASILEIRA DE EDUCACAO COREANA,1.0
2010,BRASIL,SIN DATO,ASSOCIACAO BRASILIENSE DE EDUCACAO,1.0
2010,BRASIL,SIN DATO,ASSOCIACAO CRISTA VINHEDENSE JESUS CRISTO E O CAMINHO,1.0
2010,BRASIL,SIN DATO,ASSOCIACAO SINODAL DE EDITORACAO,12.0
2010,BRASIL,SIN DATO,"BANTIM, CANATO E GUAZZELLI EDITORA LTDA",1.0
2010,BRASIL,SIN DATO,BLU EDITORA LTDA-ME,39.0
2010,BRASIL,SIN DATO,BOA VIAGEM DISTRIBUIDORA DE LIVROS LTDA,2.0
2010,BRASIL,SIN DATO,BRINQUE-BOOK EDITORA DE LIVROS LTDA,34.0
2010,BRASIL,SIN DATO,CADERBRAS BICO INTERNACIONAL LTDA,34.0
2010,BRASIL,SIN DATO,CALADWIN EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,CAPIVARA EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,CASA EDITORIAL E PROMOCOES LUMINARA LTDA,1.0
2010,BRASIL,SIN DATO,CASA NAZARENA DE PUBLICACOES NO BRASIL S/C,3.0
2010,BRASIL,SIN DATO,CASA PUBLICADORA DAS ASSEMBLEIAS DE DEUS,6.0
2010,BRASIL,SIN DATO,CENTRO ESPIRITA LEON DENIS,3.0
2010,BRASIL,SIN DATO,CLAUDIO ROBERTO MARTINI-ME,7.0
2010,BRASIL,SIN DATO,COMBOIO DO CORDA EDITORA LTDA,4.0
2010,BRASIL,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,6.0
2010,BRASIL,SIN DATO,COSAC & NAIFY EDICOES LTDA,6.0
2010,BRASIL,SIN DATO,DESPINA SPYRIDES BOABAID,1.0
2010,BRASIL,SIN DATO,EDICOES E PRODUCOES PERSON LTDA,1.0
2010,BRASIL,SIN DATO,EDICOES ROSARI LTDA,4.0
2010,BRASIL,SIN DATO,EDITORA ABCPRESS LTDA,7.0
2010,BRASIL,SIN DATO,EDITORA ARARA AZUL LTDA,4.0
2010,BRASIL,SIN DATO,EDITORA ATLAS,1.0
2010,BRASIL,SIN DATO,EDITORA BAHA'I DO BRASIL,25.0
2010,BRASIL,SIN DATO,EDITORA BEST SELLER,161.0
2010,BRASIL,SIN DATO,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA,1.0
2010,BRASIL,SIN DATO,EDITORA DIMENSAO LTDA,3.0
2010,BRASIL,SIN DATO,EDITORA FTD,11.0
2010,BRASIL,SIN DATO,EDITORA FUNDAMENTO EDUCACIONAL LTDA,264.0
2010,BRASIL,SIN DATO,EDITORA LANDMARK LTDA,2.0
2010,BRASIL,SIN DATO,EDITORA MAAYANOT LTDA,6.0
2010,BRASIL,SIN DATO,EDITORA MANA LTDA,2.0
2010,BRASIL,SIN DATO,EDITORA MODERNA,47.0
2010,BRASIL,SIN DATO,EDITORA NOVA ALEXANDRIA LTDA,1.0
2010,BRASIL,SIN DATO,EDITORA PAZ E TERRA S/A,23.0
2010,BRASIL,SIN DATO,EDITORA REVAN LTDA,3.0
2010,BRASIL,SIN DATO,EDITORA ROCCO,92.0
2010,BRASIL,SIN DATO,EDITORA TECMEDD LTDA,19.0
2010,BRASIL,SIN DATO,EDITORA UNDERWORLD LTDA,11.0
2010,BRASIL,SIN DATO,EDITORA VERGARA BRASIL LTDA,1.0
2010,BRASIL,SIN DATO,EDITORA VOZES,27.0
2010,BRASIL,SIN DATO,FABIO FERREIRA DE ALMEIDA EDITORA E TRADUCAO,2.0
2010,BRASIL,SIN DATO,FICCOES EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,FUNDACAO DE PESQUISAS CIENTIFICAS DE RIBEIRAO PRETO,2.0
2010,BRASIL,SIN DATO,FUNDACAO MOKITI OKADA-M O A,1.0
2010,BRASIL,SIN DATO,FUNDACAO UNIVERSITARIA DO DESENVOLVIMENTO DO OESTE,4.0
2010,BRASIL,SIN DATO,GERACAO EDITORIAL,5.0
2010,BRASIL,SIN DATO,GERALDO PECANHA DE ALMEIDA,1.0
2010,BRASIL,SIN DATO,GLOBAL EDITORA,8.0
2010,BRASIL,SIN DATO,GOLD EDITORA E GRAFICA LTDA,33.0
2010,BRASIL,SIN DATO,GRAFICA EDITORA STAMPPA LTDA,4.0
2010,BRASIL,SIN DATO,GRAFITEC GRAFICA E EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,GRUPOS FAMILIARES AL-ANON DO BRASIL,2.0
2010,BRASIL,SIN DATO,IBC INSTITUTO BRASILEIRO DE CULTURA LTDA,2.0
2010,BRASIL,SIN DATO,ICONE EDITORA LTDA,9.0
2010,BRASIL,SIN DATO,IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,1.0
2010,BRASIL,SIN DATO,IMPRENSA BATISTA REGULAR DO BRASIL,6.0
2010,BRASIL,SIN DATO,INSTITUTO BRAS. DO MEIO AMB. E DOS RECUR NAT RENOV,1.0
2010,BRASIL,SIN DATO,INSTITUTO NYINGMA DO BRASIL,4.0
2010,BRASIL,SIN DATO,INSTITUTO SOCIOAMBIENTAL,1.0
2010,BRASIL,SIN DATO,JARDIM DOS LIVROS EDITORIAL LTDA,2.0
2010,BRASIL,SIN DATO,KALANDRAKA EDITORA SL,5.0
2010,BRASIL,SIN DATO,LEITURA E ARTE EDITORA LTDA,2.0
2010,BRASIL,SIN DATO,LIVRO IDEAL DISTRIBUIDORA DE LIVROS LTDA,1.0
2010,BRASIL,SIN DATO,MADRAS EDITORA,45.0
2010,BRASIL,SIN DATO,MANUELA EDITORIAL LTDA,4.0
2010,BRASIL,SIN DATO,MARES TIZZOT EDITORA LTDA,6.0
2010,BRASIL,SIN DATO,MATIZ ARQUITETURA & DESIGN LTDA.,1.0
2010,BRASIL,SIN DATO,MILFOLHAS PRODUCAO EDITORIAL LTDA,3.0
