PAIS,ANO,DECILE_LABEL,DECILE_ORDER,PROMEDIO_REGISTROS,CANTIDAD_EDITORIALES
ARGENTINA,2012,Top 10%,1,72.17,6
ARGENTINA,2012,10% - 20%,2,9.5,6
ARGENTINA,2012,20% - 30%,3,6.0,6
ARGENTINA,2012,30% - 40%,4,3.67,6
ARGENTINA,2012,40% - 50%,5,3.0,6
ARGENTINA,2012,50% - 60%,6,2.17,6
ARGENTINA,2012,60% - 70%,7,1.0,5
ARGENTINA,2012,70% - 80%,8,1.0,5
ARGENTINA,2012,80% - 90%,9,1.0,5
ARGENTINA,2012,90% - 100%,10,1.0,5
ARGENTINA,2013,Top 10%,1,39.17,6
ARGENTINA,2013,10% - 20%,2,12.83,6
ARGENTINA,2013,20% - 30%,3,7.33,6
ARGENTINA,2013,30% - 40%,4,4.17,6
ARGENTINA,2013,40% - 50%,5,3.0,6
ARGENTINA,2013,50% - 60%,6,2.0,5
ARGENTINA,2013,60% - 70%,7,1.0,5
ARGENTINA,2013,70% - 80%,8,1.0,5
ARGENTINA,2013,80% - 90%,9,1.0,5
ARGENTINA,2013,90% - 100%,10,1.0,5
ARGENTINA,2014,Top 10%,1,61.33,6
ARGENTINA,2014,10% - 20%,2,15.0,6
ARGENTINA,2014,20% - 30%,3,4.67,6
ARGENTINA,2014,30% - 40%,4,2.83,6
ARGENTINA,2014,40% - 50%,5,2.0,6
ARGENTINA,2014,50% - 60%,6,2.0,6
ARGENTINA,2014,60% - 70%,7,1.0,6
ARGENTINA,2014,70% - 80%,8,1.0,6
ARGENTINA,2014,80% - 90%,9,1.0,6
ARGENTINA,2014,90% - 100%,10,1.0,6
ARGENTINA,2015,Top 10%,1,56.11,9
ARGENTINA,2015,10% - 20%,2,8.56,9
ARGENTINA,2015,20% - 30%,3,4.56,9
ARGENTINA,2015,30% - 40%,4,2.78,9
ARGENTINA,2015,40% - 50%,5,2.0,9
ARGENTINA,2015,50% - 60%,6,1.25,8
ARGENTINA,2015,60% - 70%,7,1.0,8
ARGENTINA,2015,70% - 80%,8,1.0,8
ARGENTINA,2015,80% - 90%,9,1.0,8
ARGENTINA,2015,90% - 100%,10,1.0,8
ARGENTINA,2016,Top 10%,1,43.78,9
ARGENTINA,2016,10% - 20%,2,7.22,9
ARGENTINA,2016,20% - 30%,3,4.22,9
ARGENTINA,2016,30% - 40%,4,2.44,9
ARGENTINA,2016,40% - 50%,5,2.0,8
ARGENTINA,2016,50% - 60%,6,1.62,8
ARGENTINA,2016,60% - 70%,7,1.0,8
ARGENTINA,2016,70% - 80%,8,1.0,8
ARGENTINA,2016,80% - 90%,9,1.0,8
ARGENTINA,2016,90% - 100%,10,1.0,8
ARGENTINA,2017,Top 10%,1,46.0,8
ARGENTINA,2017,10% - 20%,2,8.12,8
ARGENTINA,2017,20% - 30%,3,4.88,8
ARGENTINA,2017,30% - 40%,4,3.0,8
ARGENTINA,2017,40% - 50%,5,2.12,8
ARGENTINA,2017,50% - 60%,6,1.5,8
ARGENTINA,2017,60% - 70%,7,1.0,8
ARGENTINA,2017,70% - 80%,8,1.0,7
ARGENTINA,2017,80% - 90%,9,1.0,7
ARGENTINA,2017,90% - 100%,10,1.0,7
ARGENTINA,2018,Top 10%,1,2.0,1
ARGENTINA,2018,10% - 20%,2,2.0,1
ARGENTINA,2018,20% - 30%,3,1.0,1
ARGENTINA,2018,30% - 40%,4,1.0,1
ARGENTINA,2018,40% - 50%,5,1.0,1
ARGENTINA,2018,50% - 60%,6,1.0,1
ARGENTINA,2018,60% - 70%,7,1.0,1
ARGENTINA,2018,70% - 80%,8,0.0,0
ARGENTINA,2018,80% - 90%,9,0.0,0
ARGENTINA,2018,90% - 100%,10,0.0,0
ARGENTINA,2019,Top 10%,1,46.4,10
ARGENTINA,2019,10% - 20%,2,7.1,10
ARGENTINA,2019,20% - 30%,3,4.8,10
ARGENTINA,2019,30% - 40%,4,2.7,10
ARGENTINA,2019,40% - 50%,5,2.0,9
ARGENTINA,2019,50% - 60%,6,1.33,9
ARGENTINA,2019,60% - 70%,7,1.0,9
ARGENTINA,2019,70% - 80%,8,1.0,9
ARGENTINA,2019,80% - 90%,9,1.0,9
ARGENTINA,2019,90% - 100%,10,1.0,9
ARGENTINA,2020,Top 10%,1,30.33,6
ARGENTINA,2020,10% - 20%,2,7.33,6
ARGENTINA,2020,20% - 30%,3,4.5,6
ARGENTINA,2020,30% - 40%,4,3.5,6
ARGENTINA,2020,40% - 50%,5,2.5,6
ARGENTINA,2020,50% - 60%,6,1.67,6
ARGENTINA,2020,60% - 70%,7,1.0,5
ARGENTINA,2020,70% - 80%,8,1.0,5
ARGENTINA,2020,80% - 90%,9,1.0,5
ARGENTINA,2020,90% - 100%,10,1.0,5
ARGENTINA,TODOS,Top 10%,1,94.24,34
ARGENTINA,TODOS,10% - 20%,2,14.73,33
ARGENTINA,TODOS,20% - 30%,3,7.67,33
ARGENTINA,TODOS,30% - 40%,4,4.7,33
ARGENTINA,TODOS,40% - 50%,5,3.27,33
ARGENTINA,TODOS,50% - 60%,6,2.0,33
ARGENTINA,TODOS,60% - 70%,7,1.64,33
ARGENTINA,TODOS,70% - 80%,8,1.0,33
ARGENTINA,TODOS,80% - 90%,9,1.0,33
ARGENTINA,TODOS,90% - 100%,10,1.0,33
BOLIVIA,2010,Top 10%,1,15.0,1
BOLIVIA,2010,10% - 20%,2,2.0,1
BOLIVIA,2010,20% - 30%,3,1.0,1
BOLIVIA,2010,30% - 40%,4,0.0,0
BOLIVIA,2010,40% - 50%,5,0.0,0
BOLIVIA,2010,50% - 60%,6,0.0,0
BOLIVIA,2010,60% - 70%,7,0.0,0
BOLIVIA,2010,70% - 80%,8,0.0,0
BOLIVIA,2010,80% - 90%,9,0.0,0
BOLIVIA,2010,90% - 100%,10,0.0,0
BOLIVIA,2011,Top 10%,1,1.0,1
BOLIVIA,2011,10% - 20%,2,1.0,1
BOLIVIA,2011,20% - 30%,3,0.0,0
BOLIVIA,2011,30% - 40%,4,0.0,0
BOLIVIA,2011,40% - 50%,5,0.0,0
BOLIVIA,2011,50% - 60%,6,0.0,0
BOLIVIA,2011,60% - 70%,7,0.0,0
BOLIVIA,2011,70% - 80%,8,0.0,0
BOLIVIA,2011,80% - 90%,9,0.0,0
BOLIVIA,2011,90% - 100%,10,0.0,0
BOLIVIA,2012,Top 10%,1,1.0,1
BOLIVIA,2012,10% - 20%,2,0.0,0
BOLIVIA,2012,20% - 30%,3,0.0,0
BOLIVIA,2012,30% - 40%,4,0.0,0
BOLIVIA,2012,40% - 50%,5,0.0,0
BOLIVIA,2012,50% - 60%,6,0.0,0
BOLIVIA,2012,60% - 70%,7,0.0,0
BOLIVIA,2012,70% - 80%,8,0.0,0
BOLIVIA,2012,80% - 90%,9,0.0,0
BOLIVIA,2012,90% - 100%,10,0.0,0
BOLIVIA,2015,Top 10%,1,1.0,1
BOLIVIA,2015,10% - 20%,2,0.0,0
BOLIVIA,2015,20% - 30%,3,0.0,0
BOLIVIA,2015,30% - 40%,4,0.0,0
BOLIVIA,2015,40% - 50%,5,0.0,0
BOLIVIA,2015,50% - 60%,6,0.0,0
BOLIVIA,2015,60% - 70%,7,0.0,0
BOLIVIA,2015,70% - 80%,8,0.0,0
BOLIVIA,2015,80% - 90%,9,0.0,0
BOLIVIA,2015,90% - 100%,10,0.0,0
BOLIVIA,2016,Top 10%,1,2.0,1
BOLIVIA,2016,10% - 20%,2,1.0,1
BOLIVIA,2016,20% - 30%,3,0.0,0
BOLIVIA,2016,30% - 40%,4,0.0,0
BOLIVIA,2016,40% - 50%,5,0.0,0
BOLIVIA,2016,50% - 60%,6,0.0,0
BOLIVIA,2016,60% - 70%,7,0.0,0
BOLIVIA,2016,70% - 80%,8,0.0,0
BOLIVIA,2016,80% - 90%,9,0.0,0
BOLIVIA,2016,90% - 100%,10,0.0,0
BOLIVIA,2017,Top 10%,1,2.0,1
BOLIVIA,2017,10% - 20%,2,1.0,1
BOLIVIA,2017,20% - 30%,3,1.0,1
BOLIVIA,2017,30% - 40%,4,1.0,1
BOLIVIA,2017,40% - 50%,5,0.0,0
BOLIVIA,2017,50% - 60%,6,0.0,0
BOLIVIA,2017,60% - 70%,7,0.0,0
BOLIVIA,2017,70% - 80%,8,0.0,0
BOLIVIA,2017,80% - 90%,9,0.0,0
BOLIVIA,2017,90% - 100%,10,0.0,0
BOLIVIA,2018,Top 10%,1,1.0,1
BOLIVIA,2018,10% - 20%,2,1.0,1
BOLIVIA,2018,20% - 30%,3,1.0,1
BOLIVIA,2018,30% - 40%,4,0.0,0
BOLIVIA,2018,40% - 50%,5,0.0,0
BOLIVIA,2018,50% - 60%,6,0.0,0
BOLIVIA,2018,60% - 70%,7,0.0,0
BOLIVIA,2018,70% - 80%,8,0.0,0
BOLIVIA,2018,80% - 90%,9,0.0,0
BOLIVIA,2018,90% - 100%,10,0.0,0
BOLIVIA,2019,Top 10%,1,1.0,1
BOLIVIA,2019,10% - 20%,2,0.0,0
BOLIVIA,2019,20% - 30%,3,0.0,0
BOLIVIA,2019,30% - 40%,4,0.0,0
BOLIVIA,2019,40% - 50%,5,0.0,0
BOLIVIA,2019,50% - 60%,6,0.0,0
BOLIVIA,2019,60% - 70%,7,0.0,0
BOLIVIA,2019,70% - 80%,8,0.0,0
BOLIVIA,2019,80% - 90%,9,0.0,0
BOLIVIA,2019,90% - 100%,10,0.0,0
BOLIVIA,2020,Top 10%,1,1.0,1
BOLIVIA,2020,10% - 20%,2,1.0,1
BOLIVIA,2020,20% - 30%,3,0.0,0
BOLIVIA,2020,30% - 40%,4,0.0,0
BOLIVIA,2020,40% - 50%,5,0.0,0
BOLIVIA,2020,50% - 60%,6,0.0,0
BOLIVIA,2020,60% - 70%,7,0.0,0
BOLIVIA,2020,70% - 80%,8,0.0,0
BOLIVIA,2020,80% - 90%,9,0.0,0
BOLIVIA,2020,90% - 100%,10,0.0,0
BOLIVIA,2021,Top 10%,1,2.0,1
BOLIVIA,2021,10% - 20%,2,1.0,1
BOLIVIA,2021,20% - 30%,3,0.0,0
BOLIVIA,2021,30% - 40%,4,0.0,0
BOLIVIA,2021,40% - 50%,5,0.0,0
BOLIVIA,2021,50% - 60%,6,0.0,0
BOLIVIA,2021,60% - 70%,7,0.0,0
BOLIVIA,2021,70% - 80%,8,0.0,0
BOLIVIA,2021,80% - 90%,9,0.0,0
BOLIVIA,2021,90% - 100%,10,0.0,0
BOLIVIA,2022,Top 10%,1,1.0,1
BOLIVIA,2022,10% - 20%,2,1.0,1
BOLIVIA,2022,20% - 30%,3,0.0,0
BOLIVIA,2022,30% - 40%,4,0.0,0
BOLIVIA,2022,40% - 50%,5,0.0,0
