PAIS,ANO,DECILE_LABEL,DECILE_ORDER,PROMEDIO_REGISTROS,DESVIACION_ESTANDAR,CANTIDAD_EDITORIALES,IDIOMA_ORIGEN,CANTIDAD_OBRAS_IDIOMA
ARGENTINA,2012,Top 10%,1,72.17,43.49,6,SIN IDENTIFICAR,433.0
ARGENTINA,2012,10% - 20%,2,9.5,3.27,6,SIN IDENTIFICAR,57.0
ARGENTINA,2012,20% - 30%,3,6.0,0.63,6,SIN IDENTIFICAR,36.0
ARGENTINA,2012,30% - 40%,4,3.67,0.52,6,SIN IDENTIFICAR,22.0
ARGENTINA,2012,40% - 50%,5,3.0,0.0,6,SIN IDENTIFICAR,18.0
ARGENTINA,2012,50% - 60%,6,2.17,0.41,6,SIN IDENTIFICAR,13.0
ARGENTINA,2012,60% - 70%,7,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2012,70% - 80%,8,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2012,80% - 90%,9,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2012,90% - 100%,10,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2013,Top 10%,1,39.17,21.03,6,SIN IDENTIFICAR,235.0
ARGENTINA,2013,10% - 20%,2,12.83,2.71,6,SIN IDENTIFICAR,77.0
ARGENTINA,2013,20% - 30%,3,7.33,1.51,6,SIN IDENTIFICAR,44.0
ARGENTINA,2013,30% - 40%,4,4.17,0.41,6,SIN IDENTIFICAR,25.0
ARGENTINA,2013,40% - 50%,5,3.0,0.63,6,SIN IDENTIFICAR,18.0
ARGENTINA,2013,50% - 60%,6,2.0,0.0,5,SIN IDENTIFICAR,10.0
ARGENTINA,2013,60% - 70%,7,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2013,70% - 80%,8,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2013,80% - 90%,9,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2013,90% - 100%,10,1.0,0.0,5,SIN IDENTIFICAR,5.0
ARGENTINA,2014,Top 10%,1,61.33,49.81,6,SIN IDENTIFICAR,368.0
ARGENTINA,2014,10% - 20%,2,15.0,5.55,6,SIN IDENTIFICAR,90.0
ARGENTINA,2014,20% - 30%,3,4.67,1.03,6,SIN IDENTIFICAR,28.0
ARGENTINA,2014,30% - 40%,4,2.83,0.75,6,SIN IDENTIFICAR,17.0
ARGENTINA,2014,40% - 50%,5,2.0,0.0,6,SIN IDENTIFICAR,12.0
ARGENTINA,2014,50% - 60%,6,2.0,0.0,6,SIN IDENTIFICAR,12.0
ARGENTINA,2014,60% - 70%,7,1.0,0.0,6,SIN IDENTIFICAR,6.0
ARGENTINA,2014,70% - 80%,8,1.0,0.0,6,SIN IDENTIFICAR,6.0
ARGENTINA,2014,80% - 90%,9,1.0,0.0,6,SIN IDENTIFICAR,6.0
ARGENTINA,2014,90% - 100%,10,1.0,0.0,6,SIN IDENTIFICAR,6.0
ARGENTINA,2015,Top 10%,1,56.11,76.42,9,SIN IDENTIFICAR,505.0
ARGENTINA,2015,10% - 20%,2,8.56,2.24,9,SIN IDENTIFICAR,77.0
ARGENTINA,2015,20% - 30%,3,4.56,0.88,9,SIN IDENTIFICAR,41.0
ARGENTINA,2015,30% - 40%,4,2.78,0.44,9,SIN IDENTIFICAR,25.0
ARGENTINA,2015,40% - 50%,5,2.0,0.0,9,SIN IDENTIFICAR,18.0
